mode,leaf_code,operator,value_cm,value2_cm,unit,source_fragment,leaf_text
air,B2.10-3.3,gte,150.0,,cm,"ไม่น้อยกว่า 1,500 มิลลิเมตร","พื้นที่หน้าทางลาดเป็นที่ว่างยาวไม่น้อยกว่า 1,500 มิลลิเมตร"
air,B2.10-3.4,gte,12.0,,ratio_1_x,ความลาดชันไม่เกิน 1:12,ความลาดชันไม่เกิน 1:12
air,B2.10-3.5,gte,5.0,,cm,ไม่น้อยกว่า 50 มิลลิเมตร,ทางลาดด้านที่ไม่มีผนังกั้นให้ยกขอบสูงจากพื้นผิวของทางลาดไม่น้อยกว่า 50 มิลลิเมตร และมีราวกันตก/ราวจับทำด้วยวัสดุที่มั่นค
air,B2.10-3.6,gte,150.0,,cm,"ไม่น้อยกว่า 1,500 มิลลิเมตร","จัดให้มีชานพักยาวไม่น้อยกว่า 1,500 มิลลิเมตร คั่นระหว่างแต่ละช่วงของทางลาด"
air,B2.10-4.2,range,3.0,4.0,cm,ไม่น้อยกว่า 30 มิลลิเมตร แต่ไม่เกิน 40 มิลลิเมตร,ลักษณะกลม เส้นผ่านศูนย์กลางไม่น้อยกว่า 30 มิลลิเมตร แต่ไม่เกิน 40 มิลลิเมตร
air,B2.10-4.3,range,80.0,90.0,cm,ไม่น้อยกว่า 800 มิลลิเมตร แต่ไม่เกิน 900 มิลลิเมตร,สูงจากพื้นไม่น้อยกว่า 800 มิลลิเมตร แต่ไม่เกิน 900 มิลลิเมตร
air,B2.10-4.4,range,70.0,75.0,cm,700-750 มิลลิเมตร,ติดตั้งราวจับราวที่สองในระดับความสูงระหว่าง 700-750 มิลลิเมตรจากพื้น เพื่อประโยชน์ต่อ ผู้ใช้รถเข็นคนพิการ (Wheelchair)
air,B2.10-4.5,range,60.0,65.0,cm,600-650 มิลลิเมตร,กรณีราวจับคู่ (Double rail) สำหรับราวจับของเด็ก ติดตั้งสูงจากพื้น 600-650 มิลลิเมตร
air,B2.10-4.6,gte,5.0,,cm,ไม่น้อยกว่า 50 มิลลิเมตร,ราวจับด้านที่อยู่ติดผนังให้มีระยะห่างจากผนัง ไม่น้อยกว่า 50 มิลลิเมตร มีความสูงจากจุดยึด ไม่น้อยกว่า 120 มิลลิเมตร และผน
air,B2.10-4.6,gte,12.0,,cm,ไม่น้อยกว่า 120 มิลลิเมตร,ราวจับด้านที่อยู่ติดผนังให้มีระยะห่างจากผนัง ไม่น้อยกว่า 50 มิลลิเมตร มีความสูงจากจุดยึด ไม่น้อยกว่า 120 มิลลิเมตร และผน
air,B2.10-4.8,gte,30.0,,cm,ไม่น้อยกว่า 300 มิลลิเมตร,ปลายของราวจับให้ยื่นเลยจากจุดเริ่มต้นและ จุดสิ้นสุดของทางลาดไม่น้อยกว่า 300 มิลลิเมตร
air,B2.10-5,gte,150.0,,cm,"1,500 x 1,500 มิลลิเมตร (กว้าง)","พื้นที่บริเวณที่จุดเริ่มต้นและสิ้นสุดทางลาด ให้เป็นพื้นที่ ว่างปราศจากสิ่งกีดขวางโดยมีความกว้างและความยาว ไม่น้อยกว่า 1,"
air,B2.10-5,gte,150.0,,cm,"1,500 x 1,500 มิลลิเมตร (ยาว)","พื้นที่บริเวณที่จุดเริ่มต้นและสิ้นสุดทางลาด ให้เป็นพื้นที่ ว่างปราศจากสิ่งกีดขวางโดยมีความกว้างและความยาว ไม่น้อยกว่า 1,"
air,B2.11-1,gte,30.0,,cm,ไม่น้อยกว่า 300 มิลลิเมตร,ให้มีการติดตั้งที่พื้นบริเวณที่มีระดับต่างกันเกิน 200 มิลลิเมตร โดยมีขนาดกว้างไม่น้อยกว่า 300 มิลลิเมตร และมีความยาวเท่า
air,B2.11-1,gte,20.0,,cm,200 มิลลิเมตร,ให้มีการติดตั้งที่พื้นบริเวณที่มีระดับต่างกันเกิน 200 มิลลิเมตร โดยมีขนาดกว้างไม่น้อยกว่า 300 มิลลิเมตร และมีความยาวเท่า
air,B2.11-2.4,range,30.0,60.0,cm,ไม่น้อยกว่า 300 มิลลิเมตร แต่ไม่เกิน 600 มิลลิเมตร,"พื้นทางเข้าและทางออกของประตูลิฟต์
- มีพื้นผิวต่างสัมผัสบนพื้นบริเวณหน้าประตูลิฟต์ กว้าง 300 มิลลิเมตร และยาว 900 มิลลิเม"
air,B2.11-2.4,gte,30.0,,cm,300 มิลลิเมตร,"พื้นทางเข้าและทางออกของประตูลิฟต์
- มีพื้นผิวต่างสัมผัสบนพื้นบริเวณหน้าประตูลิฟต์ กว้าง 300 มิลลิเมตร และยาว 900 มิลลิเม"
air,B2.11-2.4,gte,90.0,,cm,900 มิลลิเมตร,"พื้นทางเข้าและทางออกของประตูลิฟต์
- มีพื้นผิวต่างสัมผัสบนพื้นบริเวณหน้าประตูลิฟต์ กว้าง 300 มิลลิเมตร และยาว 900 มิลลิเม"
air,B2.11-3,range,30.0,35.0,cm,ไม่น้อยกว่า 300 มิลลิเมตร แต่ไม่เกิน 350 มิลลิเมตร,ขอบของพื้นผิวต่างสัมผัสอยู่ห่างจากจุดเริ่มต้นของ ทางขึ้นหรือทางลงของพื้นต่างระดับ ทางลาด บันได หรือประตูไม่น้อยกว่า 300 
